gene	cluster
MA_52192g0020	Cluster1
MA_9454801g0010	Cluster1
MA_10140789g0010	Cluster1
MA_28437g0010	Cluster1
MA_40561g0010	Cluster1
MA_625682g0010	Cluster1
MA_8902024g0010	Cluster1
MA_49332g0010	Cluster1
MA_89176g0010	Cluster1
MA_245048g0010	Cluster1
MA_103578g0010	Cluster1
MA_42487g0010	Cluster1
MA_10431526g0010	Cluster1
MA_10428184g0010	Cluster1
MA_9867037g0010	Cluster1
MA_17470g0010	Cluster1
MA_199901g0010	Cluster1
MA_106402g0010	Cluster1
MA_18002g0010	Cluster1
MA_87389g0010	Cluster1
MA_19627g0010	Cluster1
MA_135936g0010	Cluster1
MA_10432943g0020	Cluster1
MA_10437216g0010	Cluster1
MA_8628986g0010	Cluster1
MA_39164g0010	Cluster1
MA_20506g0010	Cluster1
MA_53301g0010	Cluster1
MA_10429797g0010	Cluster1
MA_44083g0010	Cluster1
MA_10629g0010	Cluster1
MA_10435521g0010	Cluster1
MA_10437247g0010	Cluster1
MA_72728g0010	Cluster1
MA_10436480g0020	Cluster1
MA_958082g0010	Cluster1
MA_80342g0010	Cluster1
MA_191372g0010	Cluster1
MA_42230g0010	Cluster1
MA_169682g0010	Cluster1
MA_10427772g0010	Cluster1
MA_100585g0010	Cluster1
MA_4535g0010	Cluster1
MA_14999g0010	Cluster1
MA_55488g0010	Cluster1
MA_225419g0010	Cluster1
MA_198673g0010	Cluster1
MA_151527g0010	Cluster1
MA_7392805g0010	Cluster1
MA_84804g0010	Cluster1
MA_8905833g0010	Cluster1
MA_3726g0010	Cluster1
MA_22g0010	Cluster1
MA_25307g0030	Cluster1
MA_10381g0010	Cluster1
MA_10435875g0010	Cluster1
MA_57262g0010	Cluster1
MA_15888g0010	Cluster1
MA_182569g0020	Cluster1
MA_9964265g0010	Cluster1
MA_10327616g0010	Cluster1
MA_1733876g0010	Cluster1
MA_10435419g0010	Cluster1
MA_120020g0010	Cluster1
MA_197305g0010	Cluster1
MA_87837g0010	Cluster1
MA_577712g0010	Cluster1
MA_50074g0010	Cluster1
MA_10166571g0010	Cluster1
MA_10436718g0010	Cluster1
MA_9370809g0010	Cluster1
MA_10431815g0010	Cluster1
MA_166142g0010	Cluster1
MA_19648g0010	Cluster1
MA_10431642g0010	Cluster1
MA_479094g0010	Cluster1
MA_460378g0010	Cluster1
MA_10429401g0010	Cluster1
MA_10427486g0010	Cluster1
MA_102091g0010	Cluster1
MA_10435713g0020	Cluster1
MA_100722g0010	Cluster1
MA_44287g0010	Cluster1
MA_34668g0010	Cluster1
MA_38676g0010	Cluster1
MA_10431878g0010	Cluster1
MA_238437g0020	Cluster1
MA_238437g0010	Cluster1
MA_555681g0010	Cluster1
MA_9947361g0010	Cluster1
MA_9245245g0010	Cluster1
MA_43017g0010	Cluster1
MA_6505g0010	Cluster1
MA_4532650g0010	Cluster1
MA_28402g0020	Cluster1
MA_10435127g0010	Cluster1
MA_103334g0010	Cluster1
MA_15211g0010	Cluster1
MA_825873g0010	Cluster1
MA_7515994g0010	Cluster1
MA_4060780g0010	Cluster1
MA_10430955g0010	Cluster1
MA_13964g0010	Cluster1
MA_101646g0010	Cluster1
MA_780898g0010	Cluster1
MA_94228g0010	Cluster1
MA_1780171g0010	Cluster1
MA_70676g0010	Cluster1
MA_10429726g0010	Cluster1
MA_10163039g0010	Cluster1
MA_10434129g0010	Cluster1
MA_7586g0010	Cluster1
MA_474985g0010	Cluster1
MA_10435934g0010	Cluster1
MA_74605g0010	Cluster1
MA_4347887g0010	Cluster1
MA_13606g0010	Cluster1
MA_466251g0010	Cluster1
MA_878697g0020	Cluster1
MA_935479g0010	Cluster1
MA_72115g0010	Cluster1
MA_18755g0010	Cluster1
MA_10431122g0020	Cluster1
MA_9910264g0010	Cluster1
MA_650284g0010	Cluster1
MA_9473697g0010	Cluster1
MA_204448g0010	Cluster1
MA_10435560g0010	Cluster1
MA_10434647g0010	Cluster1
MA_130537g0010	Cluster1
MA_252170g0010	Cluster1
MA_10435462g0010	Cluster1
MA_10430934g0010	Cluster1
MA_120662g0010	Cluster1
MA_3280g0020	Cluster1
MA_10434292g0010	Cluster1
MA_72133g0010	Cluster1
MA_9044872g0010	Cluster1
MA_10434374g0010	Cluster1
MA_104187g0010	Cluster1
MA_13968g0020	Cluster1
